,en_a_01,en_a_11,en_a_12,a_01_det,a_11_det,a_12_det,multiple_det,a01_vel,a11_vel,a12_vel
205,3.7483256948647274,5.353189392775667,0.0764849123596063,5.0,1.0,,True,[-1.2784272   1.43516897 -1.76578989],[ 1.22091433 -1.45842467  1.78730682],[-0.38267854  1.16429947  2.30435759]
234,3.619705086688692,3.6390636327858994,1.919231280525409,,6.0,0.0,True,[ 0.38682615  0.44211345 -2.54302993],[-1.44491718 -1.3258031   1.7223706 ],[1.45840072 1.2184543  1.78900432]
243,3.608856855841492,2.7413517666720586,2.827791377486449,,1.0,7.0,True,[-0.01995576 -0.01586733 -2.60987548],[ 1.42407753 -1.3196498   1.74431292],[-1.37959917  1.31724905  1.78147722]
385,5.634864381450837,1.302453041766931,2.2406825767822327,5.0,1.0,,True,[-1.30654723  1.4051147  -1.76937475],[ 1.41222273 -1.1554539   1.86618682],[ 0.99523923 -1.34731282  2.00158613]
388,3.7371127740552086,5.4103010609974485,0.03058616494734334,5.0,1.0,,True,[-1.3872903   1.23678482 -1.83245435],[ 1.19246636 -1.21048773  1.98112177],[1.23495251 0.85930584 2.13274137]
396,4.410732212497987,0.17511192260505767,4.592155864896957,6.0,,0.0,True,[-1.25530801 -1.34223615  1.85329542],[-0.75454024  0.55865396 -2.43529768],[1.37760505 1.20636303 1.8598367 ]
403,6.417464797479198,1.388573489079016,1.3719617134417863,1.0,,7.0,True,[ 1.42457517 -1.30937394  1.75163509],[-1.85961681  1.42738616  1.14738577],[-1.21019028  1.39587581  1.84365675]
433,4.415278729480783,0.16047094104964016,4.602250329469577,7.0,,1.0,True,[-1.28174221  1.28414528  1.87622168],[-0.32637779 -0.15196237 -2.58505028],[ 1.31638054 -1.22941403  1.8888577 ]
677,4.397145446259887,3.658065000457528,1.1227895532825851,7.0,,3.0,True,[-1.33786624  1.35545472  1.78464462],[ 0.6988591  -0.70261461  2.41454523],[ 1.38614029 -1.41416846 -1.70024783]
765,3.7488669822809713,2.4049872360781586,3.0241457816408706,4.0,7.0,,True,[-1.25173875 -1.46238598 -1.76257691],[-1.17393676  1.43591841  1.83633079],[2.44056451 0.34769559 0.85723547]
766,3.7354779619149263,2.9151986015726075,2.5273234365124666,4.0,,7.0,True,[-1.1998741  -1.40667512 -1.84219088],[2.44602412 0.36518795 0.83408858],[-1.1682846   1.31794768  1.92619444]
